word,zipf
victims,4.509
bones,4.507
plant,4.507
bless,4.507
warning,4.506
knocking,4.506
crash,4.506
bedroom,4.506
lower,4.505
silver,4.505
groaning,4.505
madame,4.505
defense,4.505
results,4.505
toilet,4.504
event,4.504
shape,4.504
priest,4.504
royal,4.504
cheap,4.504
romantic,4.504
invite,4.503
fortune,4.503
tears,4.503
avoid,4.503
reached,4.502
higher,4.502
familiar,4.502
burning,4.502
filled,4.502
kelly,4.501
alice,4.501
airport,4.501
jobs,4.501
grown,4.501
walter,4.5
rachel,4.5
giant,4.5
woods,4.5
scare,4.499
pleased,4.499
period,4.499
player,4.497
stops,4.497
secrets,4.497
laura,4.497
repeat,4.496
photos,4.496
finds,4.496
suck,4.495
younger,4.495
china,4.494
humans,4.494
proper,4.493
rome,4.493
belongs,4.493
attacked,4.493
bath,4.493
hired,4.493
site,4.492
guests,4.492
horn,4.49
pity,4.489
powers,4.489
ashamed,4.488
assume,4.488
glasses,4.488
rise,4.488
fixed,4.487
request,4.487
officers,4.486
pounds,4.486
data,4.486
depends,4.484
jury,4.484
waited,4.484
positive,4.483
attorney,4.483
families,4.483
doin,4.482
forces,4.482
location,4.482
walls,4.481
useless,4.481
grant,4.48
saving,4.48
speaks,4.48
fought,4.48
meal,4.479
deliver,4.479
answers,4.479
changing,4.478
temple,4.477
scary,4.477
millions,4.476
offered,4.476
regular,4.475
carrying,4.474
official,4.474
jacket,4.474
switch,4.474
grave,4.473
chase,4.473
role,4.473
sexy,4.472
faces,4.472
becomes,4.472
closes,4.472
badly,4.471
tall,4.471
confused,4.471
affair,4.471
shock,4.471
raised,4.471
panting,4.471
pizza,4.47
image,4.47
clears,4.469
golden,4.469
patients,4.467
watched,4.467
sexual,4.466
suffer,4.466
arthur,4.466
wherever,4.466
plate,4.466
appear,4.465
clever,4.465
mercy,4.464
shots,4.464
lucy,4.464
dealing,4.463
trap,4.463
charges,4.463
phil,4.463
bang,4.463
poison,4.463
butt,4.463
drove,4.462
headed,4.461
babies,4.461
yellow,4.461
soup,4.46
mystery,4.46
picking,4.46
wound,4.459
traffic,4.458
courage,4.458
hunt,4.457
indian,4.457
terms,4.457
italian,4.456
emma,4.456
checking,4.456
disease,4.456
managed,4.455
winner,4.455
council,4.455
monday,4.454
crack,4.454
threat,4.454
jenny,4.454
physical,4.454
nation,4.454
source,4.454
chose,4.454
healthy,4.453
carl,4.453
victory,4.453
rick,4.453
stood,4.452
kicked,4.452
annie,4.452
palace,4.452
below,4.451
shopping,4.451
march,4.451
lips,4.45
midnight,4.45
piss,4.45
pure,4.449
india,4.449
aside,4.449
jerk,4.448
mail,4.448
dawn,4.448
effect,4.448
spell,4.448
freak,4.447
wood,4.447
screwed,4.447
enemies,4.447
gary,4.447
awake,4.447
vacation,4.447
violence,4.446
modern,4.446
luke,4.445
firm,4.445
prime,4.445
touched,4.445
talent,4.445
whore,4.444
piano,4.444
license,4.444
cooking,4.444
honour,4.443
concern,4.443
moves,4.442
factory,4.442
gods,4.442
value,4.442
central,4.442
union,4.442
mirror,4.442
studio,4.442
media,4.441
taxi,4.441
dies,4.441
iron,4.44
hearts,4.44
desire,4.44
claire,4.44
fred,4.44
songs,4.44
monkey,4.439
pride,4.439
pills,4.439
miracle,4.439
swim,4.439
burned,4.439
smells,4.437
joking,4.436
bleeding,4.435
hook,4.435
beating,4.435
carter,4.434
metal,4.434
grateful,4.433
treasure,4.433
rescue,4.433
capable,4.432
passing,4.431
chatter,4.431
result,4.431
sisters,4.431
laid,4.43
governor,4.43
guards,4.43
louis,4.429
text,4.429
remove,4.429
becoming,4.429
stronger,4.429
rate,4.428
deeply,4.428
scream,4.428
desert,4.428
vehicle,4.428
illegal,4.427
pulling,4.427
throwing,4.426
josh,4.426
zero,4.426
dean,4.426
curious,4.426
sean,4.425
candy,4.425
bone,4.425
tied,4.425
edge,4.424
load,4.424
susan,4.423
boom,4.422
former,4.422
holiday,4.422
riding,4.422
scoffs,4.421
hundreds,4.421
bags,4.421
stealing,4.42
appears,4.42
arrive,4.42
remains,4.419
decent,4.419
issues,4.419
fail,4.418
bride,4.418
pissed,4.418
penny,4.418
claim,4.418
flower,4.417
dramatic,4.417
refuse,4.416
solve,4.416
theme,4.416
loving,4.416
properly,4.416
dragon,4.415
mostly,4.415
chuck,4.415
directly,4.415
surface,4.415
false,4.414
cast,4.414
junior,4.414
hunting,4.414
silent,4.414
thou,4.413
germany,4.412
punch,4.411
africa,4.411
woke,4.411
borrow,4.41
winning,4.41
falls,4.41
popular,4.41
escaped,4.41
witch,4.41
warn,4.409
dust,4.408
kyle,4.408
someday,4.408
fallen,4.408
stranger,4.408
presence,4.408
tear,4.407
internet,4.407
monsieur,4.407
tires,4.405
toast,4.404
wise,4.404
clark,4.404
notes,4.404
smoking,4.404
hank,4.404
april,4.404
wolf,4.403
precious,4.402
rooms,4.402
coast,4.402
treated,4.402
material,4.402
released,4.402
uniform,4.402
hated,4.402
rice,4.401
exchange,4.401
steps,4.401
blake,4.401
convince,4.4
beast,4.399
files,4.398
signs,4.398
drag,4.398
hung,4.398
carried,4.398
ordinary,4.398
mistakes,4.397
houses,4.397
brains,4.397
japan,4.396
creature,4.396
fourth,4.396
separate,4.396
cleaning,4.396
shift,4.395
chicago,4.394
exact,4.394
karen,4.394
goal,4.394
expert,4.393
served,4.393
direct,4.392
score,4.392
marks,4.392
twenty,4.392
receive,4.392
series,4.391
section,4.391
pilot,4.391
jackson,4.39
darkness,4.39
sale,4.389
destiny,4.389
cure,4.389
spoken,4.389
armed,4.388
rare,4.387
helen,4.387
grade,4.386
juice,4.386
wide,4.385
tower,4.385
solution,4.385
schedule,4.385
wheel,4.384
julie,4.384
fruit,4.384
blew,4.383
victor,4.383
talks,4.383
range,4.383
button,4.383
reports,4.383
prisoner,4.383
effort,4.382
youth,4.382
eaten,4.382
taylor,4.381
knees,4.381
garage,4.381
parking,4.38
staring,4.38
chances,4.38
gordon,4.379
progress,4.379
